UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2015-0011,2015-08-25,2015-08-31,6,Flood (Brahmaputra  and tributaries),NA,"Barpeta, Baksa, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia ",ASSAM,NA,NA,NA,NA,7,NA,NA,NA,7 persons died,"i) 7,35,829 population affected. ii) Extensive damage to 1597 villages reported. iii) Damage to cropland of area 1,18,403 hectares reported.",IMD,NA
UEI-IMD-FL-2015-0012,2015-01-09,2015-12-09,334,Flood (Brahmaputra  and tributaries),NA,"Barpeta,Baksa,  Bongaigaon, Cachar, Darrang, Dhemaji, Dhubri, Dibrugarh, Golaghat, Goalpara Jorhat, Kamrup, Kamrup(M), Kokrajhar, Lakhimpur, Morigaon, Nagaon, Nalbari, Sivsagar, Sonitpur, and Tinsukia",ASSAM,NA,NA,NA,NA,28,NA,NA,NA,28 persons died.,"i)17,67,159 population affected. ii) Extensive damage to 2080 villages from 21 districts reported. iii) Damage to cropland of area 1,72,308 hectares reported. ",IMD,NA
UEI-IMD-FL-2015-0013,2015-09-23,2015-09-25,2,Heavy rains,NA,"Dhemaji, Goalpara Kamrup and Lakhimpur",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) 23,497 population affected. ii) Extensive damage to 48 villages reported. iii) Damage to cropland of area 2383 hectares reported. ",IMD,NA
UEI-IMD-FL-2015-0014,2015-07-24,2015-07-24,0,Heavy Rains,NA,Parts of Bihar,BIHAR,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
UEI-IMD-FL-2015-0015,2015-03-09,2015-03-09,0,Heavy rains,NA,Mungeli,CHATTISGARH,NA,NA,NA,NA,1,4,NA,NA,One child died &  4 persons injured. ,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply",IMD,NA
UEI-IMD-FL-2015-0016,2015-09-18,2015-09-22,4,Heavy rains,NA,"Bastar, Mahasamund Raipur, Rajnandgaon ",CHATTISGARH,NA,NA,NA,NA,2,4,NA,NA,2 persons died &  4 others injured,"Several trees / electric poles uprooted causing disruption in telecommunication services, vehicular traffic & power supply. ",IMD,NA
UEI-IMD-FL-2015-0017,2015-01-06,2015-09-30,267,Heavy rains & Flash Floods (Shatrunjaya river),NA,Saurashtra & Kutch,CHATTISGARH,NA,NA,NA,NA,70,NA,NA,9053,70 people died & 9053 animals perished. ,i)Loss of Rs.1896.87 Crore reported.  ii) 40 lakh population affected. iii) Worst affected district was Amreli. ,IMD,NA
UEI-IMD-FL-2015-0018,2015-03-04,2015-04-04,31,Heavy rains,NA,Shimla,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Shimla due to landslide,NA,IMD,NA
UEI-IMD-FL-2015-0019,2015-06-20,2015-06-21,1,Heavy rains (Cloud Burst),NA,Chamba,HIMACHAL PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One woman died in Chamba Dist. due to cloud burst.,i) Damage to crops due to flash floods & cloud burst reported. ii) Damage to 6 houses reported. iii) Damage to 2 power projects reported.,IMD,NA
UEI-IMD-FL-2015-0020,2015-10-07,2015-11-07,31,Heavy rains,NA,"Hamirpur, Kangra, Kullu, Mandi, Shimla and  Sirmaur",HIMACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)Power projects shut down in Shimla & Kullu Dist. ii) Air India flights cancled at Gaggal Airport. iii) Roads blocked due to landslides. iv) The Bora Bhangal valley of Kangra Dist. cut off as Hanny bridge collapsed due to flash floods.,IMD,NA
